Transaction_ID,Transaction_Timestamp,Customer_ID,Date_of_Birth,Gender,Sector,Store_or_Service_ID,Store_Type,Payment_Method,Card_Type,Card_Category,Wallet_Provider,Transaction_Amount_GBP,Payment_Status,Transaction_Channel,Government_Service,Crypto_Type,Spending_Limit_Used,Customer_Segment,Store_or_Service_Name,Device_Type,Promo_Code,App_Version,Merchant_Category_Code,Location
T00016,12-04-2024 18:10:21,000822,20-03-2000,Male,Retail,TechWorld Electronics,Trial,Digital_Wallet,None,None,PayPal,213.73,Failed,In_Store,No,None,No,Low,TechWorld Electronics,Laptop,SUMMER24,1.0.0,489,Stonebridge
T00017,11-02-2025 18:10:19,000628,07-05-1945,Male,Government Services,DMV Office,Control,Digital_Wallet,None,None,PayPal,168.75,Failed,In_App,Yes,None,No,Low,DMV Office,Mobile,NONE,3.0.0,759,Black Lake
T00018,24-08-2024 08:22:35,000226,04-09-1977,Male,Retail,TrendyWear,Control,QR_Payment,None,None,None,356.08,Failed,Online,No,None,No,Medium,TrendyWear,Computer,SUMMER24,1.2.0,141,Black Lake
T00019,10-02-2024 11:47:07,001353,25-03-1997,Male,Government Services,Health Department,Control,QR_Payment,None,None,None,236.56,Failed,In_Store,Yes,None,No,High,Health Department,Mobile,WINTER25,1.2.0,358,Westhaven
T00020,09-10-2024 09:38:44,000685,17-10-1988,Male,Retail,JewelBox,Trial,Card,Amex,Prepaid,None,385.46,Failed,Online,No,None,No,Low,JewelBox,Computer,WINTER25,2.2.0,860,Fairview
T00021,14-02-2025 18:42:12,001239,25-10-1961,Female,Retail,GreenGrocers,Trial,QR_Payment,None,None,None,105.81,Failed,In_App,No,None,No,Low,GreenGrocers,Mobile,SUMMER24,1.2.0,744,Fairview
T00022,03-04-2024 11:34:03,000085,04-01-1986,Female,Retail,FreshMart,Control,Digital_Wallet,None,None,PayPal,352.63,Failed,Online,No,None,No,Low,FreshMart,Mobile,NONE,2.2.0,408,Westhaven
T00023,14-08-2025 01:50:41,000414,07-12-1996,Male,Retail,SparkleJewels,Control,Card,Visa,Credit,None,209.69,Failed,In_Store,No,None,No,Medium,SparkleJewels,Computer,,2.2.0,474,Westhaven
T00024,04-05-2025 05:31:40,001470,10-03-1985,Female,Telecom,SparkMobile,Control,Card,Mastercard,Debit,None,262.36,Failed,In_Store,No,None,No,Low,SparkMobile,Mobile,SUMMER24,2.1.0,813,Brandybrug
T00025,12-08-2024 23:35:09,000094,18-07-1982,Female,Retail,ActiveGear,Trial,Digital_Wallet,None,None,Wish,407.45,Failed,In_App,No,None,No,Low,ActiveGear,Mobile,SUMMER24,3.1.0,868,Oakridge
T00026,25-10-2024 09:04:58,001152,13-07-1975,Female,Government Services,Electricity Authority,Control,Cryptocurrency,None,None,None,104.26,Failed,Online,Yes,Ethereum,No,Medium,Electricity Authority,Laptop,NONE,2.0.0,706,Black Lake
T00027,13-11-2025 20:38:14,001902,06-08-1969,Female,Government Services,Road Safety Office,Control,Cryptocurrency,None,None,None,360.57,Failed,In_App,Yes,Other,No,Low,Road Safety Office,Computer,SUMMER24,2.1.0,825,Kingsport
T00028,04-03-2025 20:50:21,000244,26-06-1945,Female,Retail,FreshFoods,Trial,Cryptocurrency,None,None,None,146.63,Failed,In_Store,No,Bitcoin,No,Medium,FreshFoods,Laptop,WINTER25,1.2.0,376,Black Lake
T00029,13-05-2025 23:26:54,000510,01-11-1951,Female,Government Services,Local Government Office,Trial,Card,Visa,Prepaid,None,174.38,Failed,In_Store,Yes,None,No,Low,Local Government Office,Computer,WINTER25,1.1.0,822,Oakridge
T00030,24-07-2024 02:01:42,001479,18-08-2004,Female,Telecom,Connect Telecom,Control,Cryptocurrency,None,None,None,162.99,Failed,Online,No,Ethereum,No,Medium,Connect Telecom,Mobile,WINTER25,2.0.0,848,Kingsport
T00031,17-05-2024 06:35:01,000525,26-12-1992,Female,Retail,FashionHub,Control,Cryptocurrency,None,None,None,361.58,Failed,In_Store,No,,No,Medium,FashionHub,POS_Terminal,NONE,2.1.0,990,Fairview
T00032,03-03-2025 21:06:23,000423,25-06-1994,Female,Government Services,Local Government Office,Control,QR_Payment,None,None,None,135.13,Failed,In_Store,Yes,None,No,Low,Local Government Office,POS_Terminal,SUMMER24,3.1.0,337,Stonebridge
T00033,13-10-2024 07:56:52,000304,24-05-1980,Female,Government Services,Public Housing Office,Control,Virtual_Card,None,None,None,230.24,Failed,Online,Yes,None,Yes,High,Public Housing Office,Laptop,NONE,3.1.0,846,Brandybrug
T00034,17-05-2025 23:28:22,000578,05-08-1945,Male,Retail,FashionHub,Control,Digital_Wallet,None,None,Revolut,344.0,Failed,Online,No,None,No,Low,FashionHub,Mobile,,1.1.0,536,Eastmoor
T00035,19-12-2024 10:15:54,001862,05-01-1954,Male,Government Services,Metro Transit,Control,Card,Amex,Prepaid,None,69.51,Failed,Online,Yes,None,No,Low,Metro Transit,Mobile,WINTER25,3.0.0,121,Johnsville
T00036,04-10-2025 00:14:13,000028,17-03-2008,Female,Government Services,Water Board,Control,Card,Visa,Credit,None,385.29,Failed,In_App,Yes,None,No,High,Water Board,Laptop,NONE,1.0.0,911,Black Lake
T00037,06-09-2025 21:37:30,000218,04-11-1961,Female,Retail,SparkleJewels,Control,QR_Payment,None,None,None,426.51,Failed,Online,No,None,No,Medium,SparkleJewels,Laptop,SUMMER24,3.1.0,877,Fairview
T00038,24-11-2025 03:21:38,000910,20-06-2001,Female,Government Services,Local Government Office,Trial,QR_Payment,None,None,None,239.98,Failed,Online,Yes,None,No,Medium,Local Government Office,Mobile,NONE,2.1.0,742,Oakridge
T00039,05-04-2024 14:17:38,000044,02-12-2003,Female,Government Services,Local Government Office,Trial,Cryptocurrency,None,None,None,52.18,Failed,In_App,Yes,Ethereum,No,High,Local Government Office,Laptop,SUMMER24,2.0.0,124,Eastmoor
T00040,27-11-2024 18:22:53,000790,11-01-1991,Female,Retail,MegaMall,Control,QR_Payment,None,None,None,113.72,Failed,In_Store,No,None,No,Medium,MegaMall,POS_Terminal,NONE,1.1.0,603,Brandybrug
T00041,26-03-2024 13:04:38,000460,14-01-1953,Male,Retail,DailyGrocer,Control,QR_Payment,None,None,None,179.3,Failed,In_Store,No,None,No,Low,DailyGrocer,Computer,SUMMER24,2.2.0,186,Black Lake
T00042,14-04-2025 12:48:56,000310,06-05-1990,Female,Retail,StyleCorner,Control,QR_Payment,None,None,None,300.21,Failed,In_Store,No,None,No,Low,StyleCorner,POS_Terminal,SUMMER24,2.1.0,739,Kingsport
T00043,27-09-2024 14:22:47,001793,08-05-1954,Male,Retail,DailyGrocer,Trial,Virtual_Card,None,None,None,466.51,Failed,In_Store,No,None,No,Low,DailyGrocer,Mobile,SUMMER24,1.2.0,896,Brandybrug
T00044,05-09-2024 18:00:16,000303,11-02-1986,Male,Retail,EliteElectronics,Control,Virtual_Card,None,None,None,57.47,Failed,In_App,No,None,Yes,Medium,EliteElectronics,Computer,SUMMER24,1.1.0,430,Brandybrug
T00045,21-05-2024 06:20:45,001572,10-01-1986,Female,Retail,EliteElectronics,Control,Virtual_Card,None,None,None,241.16,Failed,In_App,No,None,No,Medium,EliteElectronics,Computer,SUMMER24,,492,Stonebridge
T00046,02-03-2025 16:25:33,001019,09-11-1974,Female,Retail,SparkleJewels,Control,Cryptocurrency,None,None,None,410.88,Failed,In_App,No,Other,No,Medium,SparkleJewels,,NONE,3.0.0,639,Fairview
T00047,26-08-2025 04:44:04,001421,23-08-1966,Female,Government Services,Public Records Office,Control,Card,Visa,Debit,None,2.43,Failed,Online,Yes,None,No,Low,Public Records Office,Computer,NONE,3.1.0,236,Johnsville
T00048,16-02-2024 06:36:10,001867,18-04-1975,Male,Retail,UrbanBites,Control,Digital_Wallet,None,None,Revolut,230.73,Failed,In_Store,No,None,No,High,UrbanBites,POS_Terminal,SUMMER24,2.0.0,947,Eastmoor
T00049,13-02-2024 09:24:41,001530,24-08-2006,Male,Telecom,Connect Telecom,Trial,Digital_Wallet,None,None,Revolut,366.81,Failed,In_Store,No,None,No,Medium,Connect Telecom,POS_Terminal,WINTER25,1.0.0,818,Johnsville
T00050,29-05-2025 18:30:19,001192,21-01-1971,Male,Retail,CineMax,Control,Cryptocurrency,None,None,None,16.06,Failed,In_App,No,Bitcoin,No,Low,CineMax,Laptop,SUMMER24,2.0.0,178,Black Lake
T00051,18-03-2025 02:20:34,001703,18-06-1962,Prefer not to say,Government Services,Local Government Office,Control,Digital_Wallet,None,None,Revolut,372.04,Failed,In_Store,Yes,None,No,Medium,Local Government Office,Computer,WINTER25,3.0.0,839,Riverton
T00052,10-12-2024 20:16:06,001601,01-09-1999,Male,Government Services,Metro Transit,Control,QR_Payment,None,None,None,56.52,Failed,Online,Yes,None,No,Low,Metro Transit,Mobile,NONE,1.2.0,615,Brandybrug
T00053,09-01-2024 10:35:10,000812,08-11-1976,Male,Government Services,Public Transport Hub,Control,Virtual_Card,None,None,None,459.66,Failed,In_Store,Yes,None,No,High,Public Transport Hub,Computer,NONE,2.0.0,533,Brandybrug
T00054,30-07-2024 03:14:01,001993,25-06-1965,Male,Retail,QuickCafe,Control,Digital_Wallet,None,None,Wish,106.72,Failed,In_Store,No,None,No,Low,QuickCafe,Mobile,SUMMER24,3.0.0,288,Oakridge
T00055,14-04-2025 23:34:19,001724,23-12-2007,Female,Retail,CineMax,Control,Virtual_Card,None,None,None,157.28,Failed,In_Store,No,None,No,Low,CineMax,POS_Terminal,WINTER25,1.2.0,155,Riverton
T00056,17-05-2025 06:22:38,000869,20-04-1976,Female,Entertainment,PlayZone Arcade,Trial,Card,Visa,Debit,None,301.99,Failed,In_App,No,None,No,High,PlayZone Arcade,Mobile,SUMMER24,2.1.0,266,Oakridge
T00057,23-03-2024 16:38:34,000134,04-08-1997,Male,Retail,GadgetHouse,Control,QR_Payment,None,None,None,94.68,Failed,Online,No,None,No,Low,GadgetHouse,Mobile,SUMMER24,2.1.0,187,Fairview
T00058,14-03-2025 16:34:32,000092,05-09-1981,Male,Retail,ActiveGear,Control,Virtual_Card,None,None,None,24.98,Failed,Online,No,None,Yes,Medium,ActiveGear,Computer,SUMMER24,2.2.0,869,Kingsport
T00059,05-11-2024 05:48:00,001025,28-06-1989,Male,Entertainment,PlayZone Arcade,Control,Virtual_Card,None,None,None,486.95,Failed,In_Store,No,None,No,High,PlayZone Arcade,Mobile,WINTER25,3.0.0,859,Oakridge
T00060,19-03-2024 10:49:48,001029,18-08-1988,Male,Government Services,Public Records Office,Control,Card,Amex,Debit,None,239.0,Failed,Online,Yes,None,No,Low,Public Records Office,Computer,SUMMER24,1.2.0,798,Westhaven
T00061,02-03-2024 04:03:34,001813,03-04-1967,Female,Government Services,Transport Authority,Trial,Digital_Wallet,None,None,PayPal,403.93,Failed,In_Store,Yes,None,No,Low,Transport Authority,Laptop,NONE,1.2.0,613,Oakridge
T00062,20-07-2025 00:20:14,001247,11-11-1994,Female,Government Services,Metro Transit,Control,QR_Payment,None,None,None,224.29,Failed,Online,Yes,None,No,Low,Metro Transit,Computer,WINTER25,2.2.0,738,Stonebridge
T00063,01-02-2024 01:53:40,001825,27-10-1994,Female,Government Services,Social Services Center,Control,Virtual_Card,None,None,None,105.2,Failed,In_Store,Yes,None,Yes,Low,Social Services Center,Mobile,SUMMER24,3.1.0,199,Black Lake
T00064,20-04-2024 18:40:35,001570,01-10-1971,Female,Government Services,Urban Planning Office,Control,Card,Mastercard,Credit,None,227.95,Failed,Online,Yes,None,No,Medium,Urban Planning Office,Computer,SUMMER24,1.1.0,386,Fairview
T00065,09-10-2024 04:55:47,000724,16-02-1981,Female,Retail,QuickCafe,Trial,Virtual_Card,None,None,None,493.09,Failed,In_App,No,None,No,Low,QuickCafe,POS_Terminal,NONE,1.2.0,226,Fairview
T00066,14-01-2025 05:48:26,000082,08-04-1983,Male,Retail,GreenGrocers,Control,Virtual_Card,None,None,None,428.64,Failed,In_Store,No,None,No,Low,GreenGrocers,Laptop,WINTER25,2.2.0,624,Fairview
T00067,31-08-2024 14:46:27,000766,04-10-1994,Male,Retail,QuickCafe,Control,Cryptocurrency,None,None,None,132.15,Failed,In_Store,No,Ethereum,No,High,QuickCafe,Mobile,NONE,1.0.0,858,Eastmoor
T00068,27-06-2025 12:11:51,001682,15-11-1949,Female,Retail,TrendLab,Trial,Card,Mastercard,Debit,None,79.94,Failed,In_App,No,None,No,Medium,TrendLab,Mobile,SUMMER24,3.0.0,995,Westhaven
T00069,03-06-2025 17:52:14,000192,13-10-1974,Male,Retail,UrbanBites,Control,Cryptocurrency,None,None,None,55.45,Failed,Online,No,Ethereum,No,Medium,UrbanBites,Mobile,WINTER25,3.0.0,304,Stonebridge
T00070,12-09-2024 07:47:48,000133,17-02-1991,Female,Retail,CoffeeLounge,Control,Cryptocurrency,None,None,None,107.1,Failed,In_Store,No,Ethereum,No,,CoffeeLounge,POS_Terminal,SUMMER24,2.1.0,565,Black Lake
T00071,27-02-2025 09:03:01,000319,25-08-2000,Male,Retail,QuickShop,Trial,Digital_Wallet,None,None,Revolut,284.54,Failed,In_Store,No,None,No,Low,QuickShop,POS_Terminal,SUMMER24,2.2.0,908,Stonebridge
T00072,02-01-2025 16:59:43,000438,28-03-2007,Female,Retail,GameSphere,Trial,Card,Amex,Debit,None,135.65,Failed,In_Store,No,None,No,Low,GameSphere,Laptop,SUMMER24,1.2.0,170,Kingsport
T00073,10-11-2024 15:01:25,000168,17-05-1995,Female,Retail,JewelBox,Control,Virtual_Card,None,None,None,262.86,Failed,In_Store,No,None,No,Low,JewelBox,Computer,SUMMER24,1.0.0,194,Stonebridge
T00074,22-09-2024 15:41:56,001973,06-09-1990,Male,Government Services,Water Board,Trial,Digital_Wallet,None,None,Revolut,471.03,Failed,In_App,Yes,None,No,High,Water Board,POS_Terminal,NONE,1.2.0,813,Stonebridge
T00075,02-10-2024 11:56:42,001870,03-08-1952,Female,Government Services,DMV Office,Control,Card,Amex,Prepaid,None,100.08,Failed,In_Store,Yes,None,No,Low,DMV Office,Laptop,WINTER25,2.2.0,114,Brandybrug
T00076,27-11-2025 07:59:31,000940,05-10-1949,Male,Government Services,Fire & Safety Department,Trial,QR_Payment,None,None,None,57.69,Failed,In_Store,Yes,None,No,Low,Fire & Safety Department,POS_Terminal,WINTER25,3.2.1,839,Black Lake
T00077,15-12-2024 23:01:40,001932,08-04-1999,Male,Government Services,Public Transport Hub,Control,Virtual_Card,None,None,None,19.21,Failed,In_Store,Yes,None,Yes,Low,Public Transport Hub,Laptop,WINTER25,3.2.1,892,Brandybrug
T00078,11-04-2025 18:23:46,000774,24-06-1968,Female,Retail,GadgetHouse,Control,Digital_Wallet,None,None,Wish,288.84,Failed,Online,No,None,No,Medium,GadgetHouse,Computer,WINTER25,1.0.0,409,Kingsport
T00079,24-01-2025 23:32:47,001678,16-07-1987,Female,Government Services,Urban Planning Office,Trial,Virtual_Card,None,None,None,207.61,Failed,In_App,Yes,None,No,Medium,Urban Planning Office,Computer,NONE,3.0.0,635,Riverton
T00080,29-03-2024 01:33:22,001898,24-05-1962,Male,Retail,StyleCorner,Control,QR_Payment,None,None,None,89.27,Failed,In_Store,No,None,No,Medium,StyleCorner,Laptop,NONE,3.0.0,490,Kingsport
T00081,18-10-2025 09:38:57,001351,07-05-1989,Male,Government Services,DMV Office,Control,QR_Payment,None,None,None,351.34,Failed,Online,Yes,None,No,Low,DMV Office,Mobile,SUMMER24,1.1.0,765,Black Lake
T00082,23-04-2025 15:55:33,001910,,Female,Retail,FunZone Amusements,Trial,Cryptocurrency,None,None,None,50.75,Failed,In_App,No,Other,No,Medium,FunZone Amusements,Mobile,NONE,2.1.0,972,Stonebridge
T00083,13-06-2024 13:33:50,000457,15-01-2001,Male,Government Services,Electricity Authority,Control,Virtual_Card,None,None,None,98.58,Failed,In_App,Yes,None,Yes,Low,Electricity Authority,Mobile,WINTER25,3.1.0,522,Stonebridge
T00084,06-01-2024 21:46:11,001925,07-04-1974,Male,Retail,GreenGrocers,Control,Cryptocurrency,None,None,None,134.54,Failed,In_Store,No,Ethereum,No,High,GreenGrocers,Computer,WINTER25,3.0.0,789,Eastmoor
T00085,04-01-2024 05:30:08,001844,25-01-1944,Male,Government Services,Municipal Services Office,Control,Card,Visa,Credit,None,395.46,Failed,In_Store,Yes,None,No,Low,Municipal Services Office,Computer,WINTER25,1.2.0,685,Stonebridge
T00086,06-07-2024 20:03:31,001139,25-07-1961,Male,Entertainment,CinemaWorld,Trial,Virtual_Card,None,None,None,400.86,Failed,In_Store,No,None,Yes,High,CinemaWorld,POS_Terminal,SUMMER24,3.0.0,845,Brandybrug
T00087,09-11-2024 02:40:59,001852,15-04-1993,Male,Retail,CoffeeLounge,Control,Virtual_Card,None,None,None,50.69,Failed,Online,No,None,Yes,Medium,CoffeeLounge,Mobile,NONE,3.0.0,963,Kingsport
T00088,12-10-2025 09:06:33,001133,05-04-1979,Male,Retail,FreshFoods,Control,Digital_Wallet,None,None,PayPal,47.54,Failed,In_App,No,None,No,Low,FreshFoods,Mobile,NONE,1.2.0,128,Fairview
T00089,03-07-2025 14:10:15,001114,05-10-2000,Male,Government Services,Municipal Services Office,Control,Cryptocurrency,None,None,None,13.62,Failed,In_Store,Yes,Ethereum,No,High,Municipal Services Office,Laptop,WINTER25,2.2.0,291,Eastmoor
T00090,21-05-2025 19:54:18,001839,20-01-1965,Male,Retail,HomeNeeds,Trial,Cryptocurrency,None,None,None,363.43,Failed,In_App,No,Bitcoin,No,Low,HomeNeeds,Computer,NONE,1.0.0,381,Johnsville
T00091,27-12-2025 05:12:50,000295,27-06-1951,Male,Government Services,Transport Authority,Trial,Cryptocurrency,None,None,None,56.35,Failed,In_Store,Yes,Bitcoin,No,Medium,Transport Authority,Mobile,SUMMER24,1.2.0,389,Kingsport
T00092,25-11-2025 20:38:31,000370,26-08-1991,Prefer not to say,Retail,QuickCafe,Trial,QR_Payment,None,None,None,456.45,Failed,Online,No,None,No,Low,QuickCafe,POS_Terminal,SUMMER24,3.1.0,914,Black Lake
T00093,17-11-2024 08:46:05,000151,01-05-1966,Female,Retail,MegaGadgets,Control,Card,Visa,Prepaid,None,210.53,Failed,In_App,No,None,No,Low,MegaGadgets,POS_Terminal,SUMMER24,1.2.0,405,Black Lake
T00094,02-12-2025 21:02:11,000366,12-11-1984,Female,Government Services,Public Library,Control,Cryptocurrency,None,None,None,59.49,Failed,In_App,Yes,Bitcoin,No,Medium,Public Library,Computer,WINTER25,3.2.1,105,Brandybrug
T00095,09-02-2025 06:05:52,001519,12-09-2006,Female,Retail,BookNest,Control,Digital_Wallet,None,None,Wish,15.75,Failed,Online,No,None,No,Low,BookNest,Laptop,SUMMER24,2.2.0,217,Eastmoor
T00096,23-01-2024 21:52:31,000671,15-02-1975,Male,Telecom,Connect Telecom,Trial,Digital_Wallet,None,None,Revolut,137.56,Failed,Online,No,None,No,Medium,Connect Telecom,Mobile,WINTER25,3.2.1,767,Kingsport
T00097,28-12-2024 18:19:35,001527,07-05-1974,Female,Government Services,Public Records Office,Control,Cryptocurrency,None,None,None,461.25,Failed,In_App,Yes,Ethereum,No,Low,Public Records Office,Laptop,SUMMER24,2.1.0,502,Johnsville
T00098,29-03-2025 07:59:31,001625,09-06-1946,Male,Government Services,Electricity Authority,Control,Digital_Wallet,None,None,PayPal,476.93,Failed,In_App,Yes,None,No,Low,Electricity Authority,POS_Terminal,WINTER25,3.0.0,710,Kingsport
T00099,25-09-2025 17:19:58,000653,18-12-1969,Female,Telecom,ConnectStore,Trial,Virtual_Card,None,None,None,100.66,Failed,In_App,No,None,No,Low,ConnectStore,Computer,NONE,1.1.0,560,Brandybrug
T00100,21-11-2025 20:32:38,000070,25-06-1944,Male,Retail,CozyCafe,Trial,Virtual_Card,None,None,None,302.34,Failed,In_Store,No,None,No,High,CozyCafe,Computer,WINTER25,1.0.0,217,Brandybrug
T00101,20-09-2025 09:36:26,000661,10-04-1960,Male,Retail,TechStore,Control,QR_Payment,None,None,None,123.41,Failed,Online,No,None,No,Low,TechStore,Computer,WINTER25,1.2.0,898,Riverton
T00102,04-04-2024 23:54:16,000020,19-12-1977,Male,Retail,CoffeeLounge,Control,QR_Payment,None,None,None,107.67,Failed,In_Store,No,None,,Medium,CoffeeLounge,Computer,SUMMER24,3.2.1,167,Stonebridge
T00103,08-08-2024 06:57:10,001233,19-07-1999,Female,Retail,GadgetHouse,Control,Card,Amex,Debit,None,358.42,Failed,In_Store,No,None,No,Medium,GadgetHouse,Mobile,NONE,3.0.0,798,Stonebridge
T00104,03-09-2024 19:54:35,001666,19-05-1994,Female,Retail,CoffeeLounge,Trial,Card,Mastercard,Debit,None,24.35,Failed,In_App,No,None,No,Low,CoffeeLounge,POS_Terminal,SUMMER24,1.1.0,563,Brandybrug
T00105,12-04-2025 03:28:49,000670,01-03-1977,Female,Retail,FreshMart,Control,Cryptocurrency,None,None,None,143.23,Failed,In_Store,No,Bitcoin,No,High,FreshMart,Mobile,WINTER25,2.1.0,234,Stonebridge
T00106,29-01-2024 17:52:57,001835,01-01-1994,Male,Retail,SparkleJewels,Control,Card,Mastercard,Prepaid,None,9.12,Failed,In_App,No,None,No,Medium,SparkleJewels,Mobile,WINTER25,2.1.0,381,Riverton
T00107,08-08-2025 09:50:32,000709,09-06-1952,Female,Entertainment,CinemaWorld,Trial,QR_Payment,None,None,None,247.42,Failed,Online,No,None,No,Medium,CinemaWorld,POS_Terminal,WINTER25,3.1.0,605,Johnsville
T00108,16-10-2025 20:04:08,000766,04-10-1994,Male,Telecom,ConnectStore,Trial,Digital_Wallet,None,None,PayPal,412.9,Failed,Online,No,None,No,High,ConnectStore,Mobile,WINTER25,3.0.0,331,Brandybrug
T00109,09-03-2024 08:45:02,000392,25-04-1984,Male,Government Services,Tax Office,Control,QR_Payment,None,None,None,408.26,Failed,In_Store,Yes,None,No,High,Tax Office,Mobile,NONE,1.0.0,365,Black Lake
T00110,27-03-2024 01:31:43,000099,26-04-1983,Male,Retail,JewelBox,Trial,QR_Payment,None,None,None,344.27,Failed,In_App,No,None,No,Low,JewelBox,Computer,NONE,1.2.0,241,Fairview
T00111,23-12-2024 19:57:15,000246,03-12-1958,Male,Telecom,Connect Telecom,Control,Digital_Wallet,None,None,Wish,444.01,Failed,In_App,No,None,No,Medium,Connect Telecom,POS_Terminal,NONE,1.1.0,634,Oakridge
T00112,05-07-2024 19:40:55,001184,24-10-1957,Prefer not to say,Retail,QuickShop,Control,QR_Payment,None,None,None,161.63,Failed,In_Store,No,None,No,Medium,QuickShop,POS_Terminal,SUMMER24,1.1.0,370,Kingsport
T00113,06-07-2025 13:06:36,000170,22-04-1955,Female,Retail,UrbanBites,Control,Digital_Wallet,None,None,Wish,323.92,Failed,Online,No,None,No,Medium,UrbanBites,Mobile,SUMMER24,3.1.0,161,Eastmoor
T00114,11-01-2024 04:43:32,001374,25-12-2005,Female,Retail,GadgetHouse,Control,Virtual_Card,None,None,None,244.34,Failed,In_App,No,None,Yes,High,GadgetHouse,Laptop,NONE,3.2.1,626,Riverton
T00115,13-08-2025 16:31:22,001935,24-10-1992,Male,Retail,JewelBox,Control,Digital_Wallet,None,None,Wish,53.72,Failed,Online,No,None,No,Low,JewelBox,Laptop,WINTER25,3.0.0,563,Fairview
T00116,02-02-2025 19:39:48,000416,11-09-1970,Prefer not to say,Government Services,Electricity Authority,Control,Card,Mastercard,Debit,None,82.93,Failed,In_App,Yes,None,No,Low,Electricity Authority,Mobile,SUMMER24,3.1.0,997,Johnsville
T00117,01-08-2025 16:17:28,000226,04-09-1977,Male,Retail,PrimeBakery,Trial,Virtual_Card,None,None,None,134.11,Failed,In_App,No,None,Yes,Medium,PrimeBakery,POS_Terminal,WINTER25,2.1.0,221,Oakridge
