Transaction_Timestamp,MonthPeriod,Sector,Payment_Method,Transaction_Channel,Payment_Group,Transaction_Amount_GBP,Payment_Status,Customer_Segment,Device_Type,DayOfWeek,DayOfWeekNum,Hour,Quarter,Location
2024-01-11 14:26:05,2024-01,Government Services,QR_Payment,In_Store,Mobile/Digital Payment,215.4,Failed,Medium,Mobile,Thursday,3,14,1,Kingsport
2025-01-12 10:22:39,2025-01,Government Services,Cryptocurrency,Online,Mobile/Digital Payment,364.9,Failed,Medium,Laptop,Sunday,6,10,1,Kingsport
2025-06-28 10:45:45,2025-06,Government Services,Digital_Wallet,Online,Mobile/Digital Payment,353.52,Failed,Medium,Laptop,Saturday,5,10,2,Johnsville
2024-04-12 18:10:21,2024-04,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,213.73,Failed,Low,Laptop,Friday,4,18,2,Stonebridge
2025-02-11 18:10:19,2025-02,Government Services,Digital_Wallet,In_App,Mobile/Digital Payment,168.75,Failed,Low,Mobile,Tuesday,1,18,1,Black Lake
2024-08-24 08:22:35,2024-08,Retail,QR_Payment,Online,Mobile/Digital Payment,356.08,Failed,Medium,Computer,Saturday,5,8,3,Black Lake
2024-02-10 11:47:07,2024-02,Government Services,QR_Payment,In_Store,Mobile/Digital Payment,236.56,Failed,High,Mobile,Saturday,5,11,1,Westhaven
2024-10-09 09:38:44,2024-10,Retail,Card,Online,Card/Bank Payment,385.46,Failed,Low,Computer,Wednesday,2,9,4,Fairview
2025-02-14 18:42:12,2025-02,Retail,QR_Payment,In_App,Mobile/Digital Payment,105.81,Failed,Low,Mobile,Friday,4,18,1,Fairview
2024-04-03 11:34:03,2024-04,Retail,Digital_Wallet,Online,Mobile/Digital Payment,352.63,Failed,Low,Mobile,Wednesday,2,11,2,Westhaven
2025-08-14 01:50:41,2025-08,Retail,Card,In_Store,Card/Bank Payment,209.69,Failed,Medium,Computer,Thursday,3,1,3,Westhaven
2025-05-04 05:31:40,2025-05,Telecom,Card,In_Store,Card/Bank Payment,262.36,Failed,Low,Mobile,Sunday,6,5,2,Brandybrug
2024-08-12 23:35:09,2024-08,Retail,Digital_Wallet,In_App,Mobile/Digital Payment,407.45,Failed,Low,Mobile,Monday,0,23,3,Oakridge
2024-10-25 09:04:58,2024-10,Government Services,Cryptocurrency,Online,Mobile/Digital Payment,104.26,Failed,Medium,Laptop,Friday,4,9,4,Black Lake
2025-11-13 20:38:14,2025-11,Government Services,Cryptocurrency,In_App,Mobile/Digital Payment,360.57,Failed,Low,Computer,Thursday,3,20,4,Kingsport
2025-03-04 20:50:21,2025-03,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,146.63,Failed,Medium,Laptop,Tuesday,1,20,1,Black Lake
2025-05-13 23:26:54,2025-05,Government Services,Card,In_Store,Card/Bank Payment,174.38,Failed,Low,Computer,Tuesday,1,23,2,Oakridge
2024-07-24 02:01:42,2024-07,Telecom,Cryptocurrency,Online,Mobile/Digital Payment,162.99,Failed,Medium,Mobile,Wednesday,2,2,3,Kingsport
2024-05-17 06:35:01,2024-05,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,361.58,Failed,Medium,POS_Terminal,Friday,4,6,2,Fairview
2025-03-03 21:06:23,2025-03,Government Services,QR_Payment,In_Store,Mobile/Digital Payment,135.13,Failed,Low,POS_Terminal,Monday,0,21,1,Stonebridge
2024-10-13 07:56:52,2024-10,Government Services,Virtual_Card,Online,Mobile/Digital Payment,230.24,Failed,High,Laptop,Sunday,6,7,4,Brandybrug
2025-05-17 23:28:22,2025-05,Retail,Digital_Wallet,Online,Mobile/Digital Payment,344.0,Failed,Low,Mobile,Saturday,5,23,2,Eastmoor
2024-12-19 10:15:54,2024-12,Government Services,Card,Online,Card/Bank Payment,69.51,Failed,Low,Mobile,Thursday,3,10,4,Johnsville
2025-10-04 00:14:13,2025-10,Government Services,Card,In_App,Card/Bank Payment,385.29,Failed,High,Laptop,Saturday,5,0,4,Black Lake
2025-09-06 21:37:30,2025-09,Retail,QR_Payment,Online,Mobile/Digital Payment,426.51,Failed,Medium,Laptop,Saturday,5,21,3,Fairview
2025-11-24 03:21:38,2025-11,Government Services,QR_Payment,Online,Mobile/Digital Payment,239.98,Failed,Medium,Mobile,Monday,0,3,4,Oakridge
2024-04-05 14:17:38,2024-04,Government Services,Cryptocurrency,In_App,Mobile/Digital Payment,52.18,Failed,High,Laptop,Friday,4,14,2,Eastmoor
2024-11-27 18:22:53,2024-11,Retail,QR_Payment,In_Store,Mobile/Digital Payment,113.72,Failed,Medium,POS_Terminal,Wednesday,2,18,4,Brandybrug
2024-03-26 13:04:38,2024-03,Retail,QR_Payment,In_Store,Mobile/Digital Payment,179.3,Failed,Low,Computer,Tuesday,1,13,1,Black Lake
2025-04-14 12:48:56,2025-04,Retail,QR_Payment,In_Store,Mobile/Digital Payment,300.21,Failed,Low,POS_Terminal,Monday,0,12,2,Kingsport
2024-09-27 14:22:47,2024-09,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,466.51,Failed,Low,Mobile,Friday,4,14,3,Brandybrug
2024-09-05 18:00:16,2024-09,Retail,Virtual_Card,In_App,Mobile/Digital Payment,57.47,Failed,Medium,Computer,Thursday,3,18,3,Brandybrug
2024-05-21 06:20:45,2024-05,Retail,Virtual_Card,In_App,Mobile/Digital Payment,241.16,Failed,Medium,Computer,Tuesday,1,6,2,Stonebridge
2025-03-02 16:25:33,2025-03,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,410.88,Failed,Medium,Unknown,Sunday,6,16,1,Fairview
2025-08-26 04:44:04,2025-08,Government Services,Card,Online,Card/Bank Payment,2.43,Failed,Low,Computer,Tuesday,1,4,3,Johnsville
2024-02-16 06:36:10,2024-02,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,230.73,Failed,High,POS_Terminal,Friday,4,6,1,Eastmoor
2024-02-13 09:24:41,2024-02,Telecom,Digital_Wallet,In_Store,Mobile/Digital Payment,366.81,Failed,Medium,POS_Terminal,Tuesday,1,9,1,Johnsville
2025-05-29 18:30:19,2025-05,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,16.06,Failed,Low,Laptop,Thursday,3,18,2,Black Lake
2025-03-18 02:20:34,2025-03,Government Services,Digital_Wallet,In_Store,Mobile/Digital Payment,372.04,Failed,Medium,Computer,Tuesday,1,2,1,Riverton
2024-12-10 20:16:06,2024-12,Government Services,QR_Payment,Online,Mobile/Digital Payment,56.52,Failed,Low,Mobile,Tuesday,1,20,4,Brandybrug
2024-01-09 10:35:10,2024-01,Government Services,Virtual_Card,In_Store,Mobile/Digital Payment,459.66,Failed,High,Computer,Tuesday,1,10,1,Brandybrug
2024-07-30 03:14:01,2024-07,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,106.72,Failed,Low,Mobile,Tuesday,1,3,3,Oakridge
2025-04-14 23:34:19,2025-04,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,157.28,Failed,Low,POS_Terminal,Monday,0,23,2,Riverton
2025-05-17 06:22:38,2025-05,Entertainment,Card,In_App,Card/Bank Payment,301.99,Failed,High,Mobile,Saturday,5,6,2,Oakridge
2024-03-23 16:38:34,2024-03,Retail,QR_Payment,Online,Mobile/Digital Payment,94.68,Failed,Low,Mobile,Saturday,5,16,1,Fairview
2025-03-14 16:34:32,2025-03,Retail,Virtual_Card,Online,Mobile/Digital Payment,24.98,Failed,Medium,Computer,Friday,4,16,1,Kingsport
2024-11-05 05:48:00,2024-11,Entertainment,Virtual_Card,In_Store,Mobile/Digital Payment,486.95,Failed,High,Mobile,Tuesday,1,5,4,Oakridge
2024-03-19 10:49:48,2024-03,Government Services,Card,Online,Card/Bank Payment,239.0,Failed,Low,Computer,Tuesday,1,10,1,Westhaven
2024-03-02 04:03:34,2024-03,Government Services,Digital_Wallet,In_Store,Mobile/Digital Payment,403.93,Failed,Low,Laptop,Saturday,5,4,1,Oakridge
2025-07-20 00:20:14,2025-07,Government Services,QR_Payment,Online,Mobile/Digital Payment,224.29,Failed,Low,Computer,Sunday,6,0,3,Stonebridge
2024-02-01 01:53:40,2024-02,Government Services,Virtual_Card,In_Store,Mobile/Digital Payment,105.2,Failed,Low,Mobile,Thursday,3,1,1,Black Lake
2024-04-20 18:40:35,2024-04,Government Services,Card,Online,Card/Bank Payment,227.95,Failed,Medium,Computer,Saturday,5,18,2,Fairview
2024-10-09 04:55:47,2024-10,Retail,Virtual_Card,In_App,Mobile/Digital Payment,493.09,Failed,Low,POS_Terminal,Wednesday,2,4,4,Fairview
2025-01-14 05:48:26,2025-01,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,428.64,Failed,Low,Laptop,Tuesday,1,5,1,Fairview
2024-08-31 14:46:27,2024-08,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,132.15,Failed,High,Mobile,Saturday,5,14,3,Eastmoor
2025-06-27 12:11:51,2025-06,Retail,Card,In_App,Card/Bank Payment,79.94,Failed,Medium,Mobile,Friday,4,12,2,Westhaven
2025-06-03 17:52:14,2025-06,Retail,Cryptocurrency,Online,Mobile/Digital Payment,55.45,Failed,Medium,Mobile,Tuesday,1,17,2,Stonebridge
2024-09-12 07:47:48,2024-09,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,107.1,Failed,Unknown,POS_Terminal,Thursday,3,7,3,Black Lake
2025-02-27 09:03:01,2025-02,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,284.54,Failed,Low,POS_Terminal,Thursday,3,9,1,Stonebridge
2025-01-02 16:59:43,2025-01,Retail,Card,In_Store,Card/Bank Payment,135.65,Failed,Low,Laptop,Thursday,3,16,1,Kingsport
2024-11-10 15:01:25,2024-11,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,262.86,Failed,Low,Computer,Sunday,6,15,4,Stonebridge
2024-09-22 15:41:56,2024-09,Government Services,Digital_Wallet,In_App,Mobile/Digital Payment,471.03,Failed,High,POS_Terminal,Sunday,6,15,3,Stonebridge
2024-10-02 11:56:42,2024-10,Government Services,Card,In_Store,Card/Bank Payment,100.08,Failed,Low,Laptop,Wednesday,2,11,4,Brandybrug
2025-11-27 07:59:31,2025-11,Government Services,QR_Payment,In_Store,Mobile/Digital Payment,57.69,Failed,Low,POS_Terminal,Thursday,3,7,4,Black Lake
2024-12-15 23:01:40,2024-12,Government Services,Virtual_Card,In_Store,Mobile/Digital Payment,19.21,Failed,Low,Laptop,Sunday,6,23,4,Brandybrug
2025-04-11 18:23:46,2025-04,Retail,Digital_Wallet,Online,Mobile/Digital Payment,288.84,Failed,Medium,Computer,Friday,4,18,2,Kingsport
2025-01-24 23:32:47,2025-01,Government Services,Virtual_Card,In_App,Mobile/Digital Payment,207.61,Failed,Medium,Computer,Friday,4,23,1,Riverton
2024-03-29 01:33:22,2024-03,Retail,QR_Payment,In_Store,Mobile/Digital Payment,89.27,Failed,Medium,Laptop,Friday,4,1,1,Kingsport
2025-10-18 09:38:57,2025-10,Government Services,QR_Payment,Online,Mobile/Digital Payment,351.34,Failed,Low,Mobile,Saturday,5,9,4,Black Lake
2025-04-23 15:55:33,2025-04,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,50.75,Failed,Medium,Mobile,Wednesday,2,15,2,Stonebridge
2024-06-13 13:33:50,2024-06,Government Services,Virtual_Card,In_App,Mobile/Digital Payment,98.58,Failed,Low,Mobile,Thursday,3,13,2,Stonebridge
2024-01-06 21:46:11,2024-01,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,134.54,Failed,High,Computer,Saturday,5,21,1,Eastmoor
2024-01-04 05:30:08,2024-01,Government Services,Card,In_Store,Card/Bank Payment,395.46,Failed,Low,Computer,Thursday,3,5,1,Stonebridge
2024-07-06 20:03:31,2024-07,Entertainment,Virtual_Card,In_Store,Mobile/Digital Payment,400.86,Failed,High,POS_Terminal,Saturday,5,20,3,Brandybrug
2024-11-09 02:40:59,2024-11,Retail,Virtual_Card,Online,Mobile/Digital Payment,50.69,Failed,Medium,Mobile,Saturday,5,2,4,Kingsport
2025-10-12 09:06:33,2025-10,Retail,Digital_Wallet,In_App,Mobile/Digital Payment,47.54,Failed,Low,Mobile,Sunday,6,9,4,Fairview
2025-07-03 14:10:15,2025-07,Government Services,Cryptocurrency,In_Store,Mobile/Digital Payment,13.62,Failed,High,Laptop,Thursday,3,14,3,Eastmoor
2025-05-21 19:54:18,2025-05,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,363.43,Failed,Low,Computer,Wednesday,2,19,2,Johnsville
2025-12-27 05:12:50,2025-12,Government Services,Cryptocurrency,In_Store,Mobile/Digital Payment,56.35,Failed,Medium,Mobile,Saturday,5,5,4,Kingsport
2025-11-25 20:38:31,2025-11,Retail,QR_Payment,Online,Mobile/Digital Payment,456.45,Failed,Low,POS_Terminal,Tuesday,1,20,4,Black Lake
2024-11-17 08:46:05,2024-11,Retail,Card,In_App,Card/Bank Payment,210.53,Failed,Low,POS_Terminal,Sunday,6,8,4,Black Lake
2025-12-02 21:02:11,2025-12,Government Services,Cryptocurrency,In_App,Mobile/Digital Payment,59.49,Failed,Medium,Computer,Tuesday,1,21,4,Brandybrug
2025-02-09 06:05:52,2025-02,Retail,Digital_Wallet,Online,Mobile/Digital Payment,15.75,Failed,Low,Laptop,Sunday,6,6,1,Eastmoor
2024-01-23 21:52:31,2024-01,Telecom,Digital_Wallet,Online,Mobile/Digital Payment,137.56,Failed,Medium,Mobile,Tuesday,1,21,1,Kingsport
2024-12-28 18:19:35,2024-12,Government Services,Cryptocurrency,In_App,Mobile/Digital Payment,461.25,Failed,Low,Laptop,Saturday,5,18,4,Johnsville
2025-03-29 07:59:31,2025-03,Government Services,Digital_Wallet,In_App,Mobile/Digital Payment,476.93,Failed,Low,POS_Terminal,Saturday,5,7,1,Kingsport
2025-09-25 17:19:58,2025-09,Telecom,Virtual_Card,In_App,Mobile/Digital Payment,100.66,Failed,Low,Computer,Thursday,3,17,3,Brandybrug
2025-11-21 20:32:38,2025-11,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,302.34,Failed,High,Computer,Friday,4,20,4,Brandybrug
2025-09-20 09:36:26,2025-09,Retail,QR_Payment,Online,Mobile/Digital Payment,123.41,Failed,Low,Computer,Saturday,5,9,3,Riverton
2024-04-04 23:54:16,2024-04,Retail,QR_Payment,In_Store,Mobile/Digital Payment,107.67,Failed,Medium,Computer,Thursday,3,23,2,Stonebridge
2024-08-08 06:57:10,2024-08,Retail,Card,In_Store,Card/Bank Payment,358.42,Failed,Medium,Mobile,Thursday,3,6,3,Stonebridge
2024-09-03 19:54:35,2024-09,Retail,Card,In_App,Card/Bank Payment,24.35,Failed,Low,POS_Terminal,Tuesday,1,19,3,Brandybrug
2025-04-12 03:28:49,2025-04,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,143.23,Failed,High,Mobile,Saturday,5,3,2,Stonebridge
2024-01-29 17:52:57,2024-01,Retail,Card,In_App,Card/Bank Payment,9.12,Failed,Medium,Mobile,Monday,0,17,1,Riverton
2025-08-08 09:50:32,2025-08,Entertainment,QR_Payment,Online,Mobile/Digital Payment,247.42,Failed,Medium,POS_Terminal,Friday,4,9,3,Johnsville
2025-10-16 20:04:08,2025-10,Telecom,Digital_Wallet,Online,Mobile/Digital Payment,412.9,Failed,High,Mobile,Thursday,3,20,4,Brandybrug
2024-03-09 08:45:02,2024-03,Government Services,QR_Payment,In_Store,Mobile/Digital Payment,408.26,Failed,High,Mobile,Saturday,5,8,1,Black Lake
2024-03-27 01:31:43,2024-03,Retail,QR_Payment,In_App,Mobile/Digital Payment,344.27,Failed,Low,Computer,Wednesday,2,1,1,Fairview
2024-12-23 19:57:15,2024-12,Telecom,Digital_Wallet,In_App,Mobile/Digital Payment,444.01,Failed,Medium,POS_Terminal,Monday,0,19,4,Oakridge
2024-07-05 19:40:55,2024-07,Retail,QR_Payment,In_Store,Mobile/Digital Payment,161.63,Failed,Medium,POS_Terminal,Friday,4,19,3,Kingsport
2025-07-06 13:06:36,2025-07,Retail,Digital_Wallet,Online,Mobile/Digital Payment,323.92,Failed,Medium,Mobile,Sunday,6,13,3,Eastmoor
2024-01-11 04:43:32,2024-01,Retail,Virtual_Card,In_App,Mobile/Digital Payment,244.34,Failed,High,Laptop,Thursday,3,4,1,Riverton
2025-08-13 16:31:22,2025-08,Retail,Digital_Wallet,Online,Mobile/Digital Payment,53.72,Failed,Low,Laptop,Wednesday,2,16,3,Fairview
2025-02-02 19:39:48,2025-02,Government Services,Card,In_App,Card/Bank Payment,82.93,Failed,Low,Mobile,Sunday,6,19,1,Johnsville
2025-08-01 16:17:28,2025-08,Retail,Virtual_Card,In_App,Mobile/Digital Payment,134.11,Failed,Medium,POS_Terminal,Friday,4,16,3,Oakridge
2024-03-06 07:07:05,2024-03,Retail,Virtual_Card,Online,Mobile/Digital Payment,254.46,Failed,Low,POS_Terminal,Wednesday,2,7,1,Black Lake
2025-05-18 19:11:08,2025-05,Government Services,Digital_Wallet,Online,Mobile/Digital Payment,95.54,Failed,Low,Computer,Sunday,6,19,2,Stonebridge
2024-03-25 19:20:51,2024-03,Retail,Card,Online,Card/Bank Payment,27.52,Failed,Low,Computer,Monday,0,19,1,Johnsville
2024-08-01 22:56:12,2024-08,Government Services,Virtual_Card,Online,Mobile/Digital Payment,197.05,Failed,Low,Computer,Thursday,3,22,3,Eastmoor
2024-09-27 00:21:03,2024-09,Retail,QR_Payment,Online,Mobile/Digital Payment,367.21,Failed,Medium,Laptop,Friday,4,0,3,Kingsport
2025-10-24 04:56:37,2025-10,Government Services,QR_Payment,Online,Mobile/Digital Payment,341.04,Failed,Low,Laptop,Friday,4,4,4,Black Lake
2025-06-01 07:43:29,2025-06,Retail,Digital_Wallet,Online,Mobile/Digital Payment,440.75,Failed,Medium,Mobile,Sunday,6,7,2,Fairview
2024-01-01 18:45:43,2024-01,Government Services,Card,In_App,Card/Bank Payment,284.07,Failed,Low,Laptop,Monday,0,18,1,Brandybrug
2025-08-25 03:49:46,2025-08,Retail,QR_Payment,In_Store,Mobile/Digital Payment,226.86,Failed,High,Computer,Monday,0,3,3,Westhaven
2024-07-15 22:16:09,2024-07,Retail,QR_Payment,In_App,Mobile/Digital Payment,151.27,Failed,Low,POS_Terminal,Monday,0,22,3,Oakridge
2025-07-19 14:55:17,2025-07,Retail,Virtual_Card,Online,Mobile/Digital Payment,330.02,Failed,Low,Computer,Saturday,5,14,3,Fairview
2025-07-29 13:28:22,2025-07,Retail,Card,In_App,Card/Bank Payment,319.73,Failed,Low,POS_Terminal,Tuesday,1,13,3,Riverton
2025-11-20 17:25:29,2025-11,Entertainment,QR_Payment,Online,Mobile/Digital Payment,155.35,Failed,Low,Computer,Thursday,3,17,4,Westhaven
2025-03-16 03:21:11,2025-03,Government Services,QR_Payment,Online,Mobile/Digital Payment,55.99,Failed,Medium,POS_Terminal,Sunday,6,3,1,Brandybrug
2025-02-10 08:53:49,2025-02,Retail,Digital_Wallet,Online,Mobile/Digital Payment,243.93,Failed,Low,Computer,Monday,0,8,1,Eastmoor
2024-08-07 19:49:29,2024-08,Retail,Virtual_Card,In_App,Mobile/Digital Payment,3.54,Failed,Medium,Mobile,Wednesday,2,19,3,Riverton
2025-11-13 12:34:01,2025-11,Government Services,Cryptocurrency,In_Store,Mobile/Digital Payment,476.89,Failed,Medium,Computer,Thursday,3,12,4,Fairview
2025-12-14 05:36:14,2025-12,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,125.12,Failed,Medium,POS_Terminal,Sunday,6,5,4,Kingsport
2025-12-15 17:39:42,2025-12,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,339.78,Failed,High,Laptop,Monday,0,17,4,Brandybrug
2024-11-19 08:37:25,2024-11,Entertainment,Card,In_App,Card/Bank Payment,463.63,Failed,Low,Laptop,Tuesday,1,8,4,Brandybrug
2025-02-13 00:00:08,2025-02,Government Services,QR_Payment,In_App,Mobile/Digital Payment,234.72,Failed,Low,POS_Terminal,Thursday,3,0,1,Black Lake
2025-12-09 19:19:10,2025-12,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,378.17,Failed,Low,Computer,Tuesday,1,19,4,Brandybrug
2025-04-27 06:13:25,2025-04,Government Services,QR_Payment,In_App,Mobile/Digital Payment,27.71,Failed,High,Laptop,Sunday,6,6,2,Oakridge
2024-12-23 11:08:11,2024-12,Retail,QR_Payment,In_Store,Mobile/Digital Payment,415.12,Failed,Medium,Mobile,Monday,0,11,4,Kingsport
2025-03-15 04:37:44,2025-03,Government Services,Card,In_Store,Card/Bank Payment,292.72,Failed,High,Mobile,Saturday,5,4,1,Brandybrug
2025-03-12 13:21:26,2025-03,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,314.49,Failed,Low,Mobile,Wednesday,2,13,1,Johnsville
2024-01-01 00:39:56,2024-01,Retail,Cryptocurrency,Online,Mobile/Digital Payment,124.36,Failed,Medium,POS_Terminal,Monday,0,0,1,Stonebridge
2024-02-13 05:27:00,2024-02,Telecom,Virtual_Card,In_Store,Mobile/Digital Payment,410.32,Failed,Medium,Computer,Tuesday,1,5,1,Fairview
2024-04-05 16:32:59,2024-04,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,409.46,Failed,Low,Laptop,Friday,4,16,2,Oakridge
2024-06-04 14:48:50,2024-06,Retail,Card,In_App,Card/Bank Payment,184.3,Failed,Low,POS_Terminal,Tuesday,1,14,2,Stonebridge
2025-09-23 20:37:11,2025-09,Retail,Virtual_Card,Online,Mobile/Digital Payment,282.54,Failed,Low,Computer,Tuesday,1,20,3,Riverton
2024-04-18 04:48:21,2024-04,Government Services,QR_Payment,Online,Mobile/Digital Payment,5.55,Failed,Medium,Computer,Thursday,3,4,2,Riverton
2025-12-02 00:45:40,2025-12,Retail,Card,In_Store,Card/Bank Payment,76.55,Failed,Medium,Computer,Tuesday,1,0,4,Kingsport
2025-12-18 06:51:28,2025-12,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,481.31,Failed,Low,Laptop,Thursday,3,6,4,Oakridge
2024-07-20 08:19:23,2024-07,Government Services,Cryptocurrency,In_App,Mobile/Digital Payment,292.66,Failed,High,Mobile,Saturday,5,8,3,Brandybrug
2024-06-28 23:16:53,2024-06,Government Services,Virtual_Card,In_Store,Mobile/Digital Payment,380.19,Failed,Low,Laptop,Friday,4,23,2,Stonebridge
2025-08-10 01:23:30,2025-08,Retail,Card,In_Store,Card/Bank Payment,58.12,Failed,Low,Mobile,Sunday,6,1,3,Black Lake
2025-12-18 08:14:08,2025-12,Retail,Virtual_Card,In_Store,Mobile/Digital Payment,67.48,Failed,Medium,Laptop,Thursday,3,8,4,Westhaven
2025-06-11 06:39:46,2025-06,Retail,Digital_Wallet,Online,Mobile/Digital Payment,407.11,Failed,Low,Mobile,Wednesday,2,6,2,Johnsville
2024-06-07 02:15:12,2024-06,Government Services,Card,Online,Card/Bank Payment,284.58,Failed,Low,Computer,Friday,4,2,2,Eastmoor
2025-10-08 13:06:53,2025-10,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,178.89,Failed,Medium,Laptop,Wednesday,2,13,4,Stonebridge
2025-11-09 20:06:37,2025-11,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,51.36,Failed,Low,Laptop,Sunday,6,20,4,Black Lake
2024-06-23 00:03:29,2024-06,Retail,QR_Payment,In_App,Mobile/Digital Payment,195.82,Failed,Medium,Mobile,Sunday,6,0,2,Oakridge
2025-03-22 21:24:39,2025-03,Government Services,Cryptocurrency,In_Store,Mobile/Digital Payment,156.81,Failed,Medium,Mobile,Saturday,5,21,1,Westhaven
2025-12-28 17:34:58,2025-12,Retail,Card,In_App,Card/Bank Payment,131.18,Failed,Medium,Unknown,Sunday,6,17,4,Riverton
2025-12-18 19:51:24,2025-12,Government Services,Card,In_Store,Card/Bank Payment,37.38,Failed,Medium,Mobile,Thursday,3,19,4,Fairview
2025-07-28 05:21:11,2025-07,Government Services,Cryptocurrency,In_App,Mobile/Digital Payment,473.35,Failed,Low,Mobile,Monday,0,5,3,Oakridge
2024-06-23 22:52:18,2024-06,Retail,QR_Payment,Online,Mobile/Digital Payment,390.99,Failed,Medium,Mobile,Sunday,6,22,2,Eastmoor
2025-02-18 21:56:46,2025-02,Government Services,Card,In_App,Card/Bank Payment,27.02,Failed,Low,Laptop,Tuesday,1,21,1,Brandybrug
2024-03-30 18:37:37,2024-03,Telecom,QR_Payment,In_App,Mobile/Digital Payment,176.54,Failed,Medium,POS_Terminal,Saturday,5,18,1,Johnsville
2025-04-02 04:37:30,2025-04,Retail,Cryptocurrency,Online,Mobile/Digital Payment,23.84,Failed,Low,Laptop,Wednesday,2,4,2,Brandybrug
2024-12-06 15:16:27,2024-12,Retail,QR_Payment,Online,Mobile/Digital Payment,301.61,Failed,Low,Computer,Friday,4,15,4,Johnsville
2025-05-24 23:43:48,2025-05,Retail,Cryptocurrency,In_Store,Mobile/Digital Payment,247.97,Failed,Low,Computer,Saturday,5,23,2,Kingsport
2024-10-12 00:08:19,2024-10,Retail,Digital_Wallet,In_App,Mobile/Digital Payment,446.6,Failed,Medium,Mobile,Saturday,5,0,4,Fairview
2025-01-12 15:34:06,2025-01,Retail,Digital_Wallet,In_Store,Mobile/Digital Payment,116.04,Failed,Medium,Laptop,Sunday,6,15,1,Brandybrug
2024-01-28 20:37:18,2024-01,Government Services,Virtual_Card,Online,Mobile/Digital Payment,11.62,Failed,Low,Computer,Sunday,6,20,1,Johnsville
2024-02-16 09:15:44,2024-02,Government Services,Virtual_Card,In_App,Mobile/Digital Payment,431.52,Failed,Low,POS_Terminal,Friday,4,9,1,Stonebridge
